video_name,duration,label,start,end
NIA_SL_WORD1023_SYN02_D.mp4,2.1,구로구지부,0.498,1.771
NIA_SL_WORD1152_SYN02_R.mp4,1.533,아프다,0.415,1.162
NIA_SL_WORD0752_SYN02_U.mp4,2.9,사용처,1.111,2.408
NIA_SL_WORD0895_SYN02_U.mp4,2.4,키다리,0.53,2.037
NIA_SL_WORD0869_SYN02_F.mp4,2.567,초산,0.633,2.164
NIA_SL_WORD0906_SYN02_D.mp4,2.633,수감,0.344,2.417
NIA_SL_WORD0906_SYN02_L.mp4,2.633,수감,0.344,2.417
NIA_SL_WORD0626_SYN02_F.mp4,3.0,색연필,0.512,2.765
NIA_SL_WORD0982_SYN02_L.mp4,1.7,일자무식,0.238,1.399
NIA_SL_WORD1141_SYN02_R.mp4,1.833,살인,0.564,1.021
NIA_SL_WORD0692_SYN02_R.mp4,2.8,악영향,1.068,2.598
NIA_SL_WORD0670_SYN02_U.mp4,3.067,시달리다,0.479,2.744
NIA_SL_WORD0689_SYN02_U.mp4,2.467,통증,0.299,2.16
NIA_SL_WORD0615_SYN02_U.mp4,2.433,과용,0.487,2.103
NIA_SL_WORD0663_SYN02_R.mp4,2.567,술집,0.275,2.319
NIA_SL_WORD1117_SYN02_F.mp4,1.7,나이,0.523,1.2
NIA_SL_WORD1121_SYN02_U.mp4,1.967,흰,1.15,1.607
NIA_SL_WORD1064_SYN02_L.mp4,2.633,용산구지부,0.537,2.248
NIA_SL_WORD0941_SYN02_D.mp4,1.767,복귀,0.627,1.439
NIA_SL_WORD0673_SYN02_R.mp4,4.567,시험감독,1.114,4.28
NIA_SL_WORD0741_SYN02_D.mp4,2.333,완납,0.649,2.115
NIA_SL_WORD1152_SYN02_F.mp4,1.533,아프다,0.415,1.162
NIA_SL_WORD0827_SYN02_U.mp4,2.067,중매,0.495,1.776
NIA_SL_WORD0652_SYN02_R.mp4,2.467,소화불량,0.49,2.061
NIA_SL_WORD0796_SYN02_R.mp4,2.7,장점,0.484,1.709
NIA_SL_WORD1066_SYN02_F.mp4,2.7,용산구주민지원센터,0.722,2.296
NIA_SL_WORD0717_SYN02_F.mp4,2.533,언약,0.406,2.09
NIA_SL_WORD0587_SYN02_L.mp4,2.6,무각오,0.629,1.86
NIA_SL_WORD0979_SYN02_U.mp4,1.867,겹치다,0.481,1.47
NIA_SL_WORD0621_SYN02_D.mp4,2.633,새,0.498,2.423
NIA_SL_WORD0601_SYN02_R.mp4,2.367,겉모습,0.503,2.094
NIA_SL_WORD0964_SYN02_R.mp4,2.2,수북하다,0.367,1.958
NIA_SL_WORD0598_SYN02_D.mp4,4.3,사감,1.145,4.003
NIA_SL_WORD1154_SYN02_R.mp4,2.067,깨끗하다,1.067,1.836
NIA_SL_WORD0771_SYN02_R.mp4,2.867,익명,0.45,2.013
